Company,Major index membership,Market capitalization,Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Income (ttm),Revenue (ttm),Diluted EPS (ttm),EPS estimate for next quarter,EPS estimate for next year,EPS growth next year,EPS growth this year
A,S&P 500,41050000000.0,0.125,0.25,0.16899999999999998,0.545,0.24100000000000002,0.191,1320000000.0,6930000000.0,4.43,1.26,6.31,0.10830000000000001,0.061
AAL,S&P 500,10650000000.0,0.002,-0.016,0.052000000000000005,0.579,0.033,0.003,127000000.0,48970000000.0,0.11,0.01,2.87,0.4364,1.063
AAP,S&P 500,7880000000.0,0.042,0.18100000000000002,0.138,0.445,0.063,0.045,501900000.0,11150000000.0,8.26,2.69,11.9,0.06269999999999999,-0.135
AAPL,"DJIA, NDX, S&P 500",2336710000000.0,0.275,1.635,0.583,0.431,0.294,0.24600000000000002,95170000000.0,387540000000.0,5.89,1.43,6.59,0.1041,0.08900000000000001
ABBV,S&P 500,261850000000.00003,0.083,0.7340000000000001,0.205,0.715,0.312,0.203,11780000000.0,58050000000.0,6.63,2.63,11.1,-0.0027,0.027000000000000003
ABC,S&P 500,30470000000.0,0.03,0.005171325363836021,0.345,0.035,0.01,0.006999999999999999,1730000000.0,241810000000.0,8.24,3.3,12.59,0.0823,0.08900000000000001
ABT,S&P 500,169740000000.0,0.094,0.192,0.13,0.561,0.192,0.159,6930000000.0,43650000000.0,3.92,0.99,4.85,0.1003,-0.006
ACN,S&P 500,171050000000.0,0.153,0.324,0.319,0.32,0.151,0.113,7050000000.0,62380000000.0,11.01,3.08,12.62,0.098,0.17
ADBE,"NDX, S&P 500",153470000000.0,0.179,0.33899999999999997,0.267,0.877,0.34600000000000003,0.27,4760000000.0,17610000000.0,10.1,3.76,17.51,0.1439,0.006999999999999999
ADI,"NDX, S&P 500",93540000000.0,0.068,0.094,0.068,0.6559999999999999,0.322,0.273,3430000000.0,12580000000.0,6.62,2.75,10.93,0.0207,0.516
ADM,S&P 500,43530000000.0,0.071,0.18,0.098,0.075,0.040999999999999995,0.043,4340000000.0,101560000000.0,7.7,1.76,6.66,-0.0352,0.613
ADP,"NDX, S&P 500",91070000000.0,0.053,0.9690000000000001,0.47100000000000003,0.43700000000000006,0.237,0.182,3150000000.0,17250000000.0,7.53,2.44,9.01,0.1093,0.154
ADSK,"NDX, S&P 500",42780000000.0,0.066,0.7020000000000001,0.158,0.904,0.158,0.111,823000000.0,5000000000.0,3.78,1.55,8.34,0.1537,-0.588
AEE,S&P 500,21430000000.0,0.028999999999999998,0.106,0.052000000000000005,0.723,0.19,0.135,1070000000.0000001,7960000000.0,4.14,0.98,4.69,0.0738,0.077
AEP,"NDX, S&P 500",45320000000.0,0.025,0.096,0.054000000000000006,0.639,0.177,0.11699999999999999,2310000000.0,19640000000.0,4.5,1.34,5.64,0.065,-0.094
AES,S&P 500,16230000000.0,-0.015,-0.256,0.022000000000000002,0.20199999999999999,0.064,-0.043,-546000000.0,12620000000.0,-1.19,0.35,1.91,0.1096,-0.318
AFL,S&P 500,39960000000.0,0.031,0.16399999999999998,0.149,0.5725563254926408,0.247,0.215,4200000000.0,19530000000.0,6.56,1.41,6.04,0.065,0.031
AIG,S&P 500,42160000000.0,0.019,0.23,0.18600000000000003,0.545520544940896,0.273,0.182,10250000000.0,56440000000.0,12.79,1.51,7.33,0.1772,0.20199999999999999
AIZ,S&P 500,6430000000.0,0.008,0.062,0.061,0.427882854526327,0.045,0.027000000000000003,276600000.0,10200000000.0,5.04,2.81,13.47,0.16649999999999998,-0.493
AJG,S&P 500,39660000000.0,0.027999999999999997,0.125,0.092,0.44299999999999995,0.185,0.13,1110000000.0,8550000000.000001,5.2,3.02,9.98,0.1275,0.18600000000000003
AKAM,S&P 500,11300000000.0,0.064,0.122,0.083,0.617,0.187,0.145,523700000.00000006,3620000000.0,3.27,1.32,6.04,0.10460000000000001,-0.17
ALB,S&P 500,28650000000.0,0.20199999999999999,0.40399999999999997,0.18600000000000003,0.42,0.337,0.36700000000000005,2690000000.0,7320000000.0,22.82,7.27,28.88,0.0087,0.304
ALGN,"NDX, S&P 500",23830000000.0,0.061,0.099,0.11199999999999999,0.705,0.172,0.09699999999999999,361600000.0,3730000000.0,4.6,1.67,9.74,0.2159,-0.524
ALK,S&P 500,6220000000.0,0.004,0.015,0.008,0.516,0.006999999999999999,0.006,58000000.0,9650000000.0,0.44,-0.4,6.87,0.23829999999999998,-0.8759999999999999
ALL,S&P 500,31770000000.0,-0.015,-0.08,-0.057999999999999996,0.37350760894523294,-0.036000000000000004,-0.027999999999999997,-1416000000.0,51410000000.0,-5.33,1.75,13.26,0.8886,-1.308
ALLE,S&P 500,9850000000.0,0.126,0.563,0.172,0.40399999999999997,0.177,0.14,458000000.0,3270000000.0,5.19,1.37,6.92,0.0843,-0.027999999999999997
AMAT,"NDX, S&P 500",99840000000.0,0.243,0.524,0.38,0.46399999999999997,0.29600000000000004,0.24600000000000002,6450000000.0,26250000000.0,7.46,1.84,6.87,-0.0342,0.161
AMCR,S&P 500,16239999999.999998,0.061,0.252,0.08900000000000001,0.191,0.102,0.071,1060000000.0,14970000000.0,0.71,0.18,0.82,0.0529,-0.122
AMD,"NDX, S&P 500",135740000000.00002,0.02,0.024,0.024,0.449,0.054000000000000006,0.055999999999999994,1320000000.0,23600000000.0,0.89,0.56,4.33,0.419,-0.6729999999999999
AME,S&P 500,32030000000.0,0.096,0.163,0.125,0.349,0.244,0.18899999999999997,1160000000.0,6150000000.0,5.01,1.41,6.43,0.07339999999999999,0.17800000000000002
AMGN,"DJIA, NDX, S&P 500",121940000000.0,0.106,2.461,0.20600000000000002,0.757,0.366,0.249,6550000000.0,26320000000.0,12.12,4.02,18.82,0.0594,0.17800000000000002
AMP,S&P 500,35060000000.0,0.016,0.632,0.069,0.51,0.23600000000000002,0.17800000000000002,2560000000.0,14350000000.0,22.45,7.3,33.75,0.09050000000000001,-0.021
AMT,S&P 500,88920000000.0,0.026000000000000002,0.292,0.053,0.695,0.22,0.165,1770000000.0,10710000000.0,3.84,1.08,4.98,0.1408,-0.326
